页面 URL,Title,Description,Keywords,关键词,TOOCAA 是否已有,难度,流量,页面用途,建议动作,竞品 URL
https://luckykingking.github.io/toocaa-test/learn/materials/wood/,"Wood Laser Cutting Guide: Settings, Best Wood, Safety | TOOCAA","A practical guide to laser cutting wood: choose the best wood, calculate diode laser settings, compare plywood and MDF parameters, reduce burnt edges, and plan safe projects.","laser cutting wood, wood laser cutter, laser cut wood, laser engrave wood, cutting plywood with laser cutter, mdf laser cutting machine, laser cut mdf, good wood for laser cutting, wood cutting laser machines, laser carving on wood",laser cutting wood,有,26,35,主关键词,保留在标题、meta、介绍、计算器和 FAQ 中自然覆盖。,https://www.xtool.com/blogs/xtool-academy/welder-salary-guide
https://luckykingking.github.io/toocaa-test/learn/materials/wood/,"Wood Laser Cutting Guide: Settings, Best Wood, Safety | TOOCAA","A practical guide to laser cutting wood: choose the best wood, calculate diode laser settings, compare plywood and MDF parameters, reduce burnt edges, and plan safe projects.","laser cutting wood, wood laser cutter, laser cut wood, laser engrave wood, cutting plywood with laser cutter, mdf laser cutting machine, laser cut mdf, good wood for laser cutting, wood cutting laser machines, laser carving on wood",wood laser cutter,没有,22,0,主/辅助关键词,用于购买意图文案，并从材料/设置页增加内链。,https://acmerlaser.com/collections/types?q=laser+engraver+accessories
https://luckykingking.github.io/toocaa-test/learn/materials/wood/,"Wood Laser Cutting Guide: Settings, Best Wood, Safety | TOOCAA","A practical guide to laser cutting wood: choose the best wood, calculate diode laser settings, compare plywood and MDF parameters, reduce burnt edges, and plan safe projects.","laser cutting wood, wood laser cutter, laser cut wood, laser engrave wood, cutting plywood with laser cutter, mdf laser cutting machine, laser cut mdf, good wood for laser cutting, wood cutting laser machines, laser carving on wood",laser cut wood,有,18,56,辅助关键词,保留在正文、项目卡片和 FAQ 措辞中。,https://www.xtool.com/products/xtool-s1-40w-laser-module
https://luckykingking.github.io/toocaa-test/learn/materials/wood/,"Wood Laser Cutting Guide: Settings, Best Wood, Safety | TOOCAA","A practical guide to laser cutting wood: choose the best wood, calculate diode laser settings, compare plywood and MDF parameters, reduce burnt edges, and plan safe projects.","laser cutting wood, wood laser cutter, laser cut wood, laser engrave wood, cutting plywood with laser cutter, mdf laser cutting machine, laser cut mdf, good wood for laser cutting, wood cutting laser machines, laser carving on wood",laser engrave wood,有,20,256,辅助关键词,用于雕刻部分和计算器的 engrave 模式说明。,https://support.xtool.com/download
https://luckykingking.github.io/toocaa-test/learn/materials/wood/,"Wood Laser Cutting Guide: Settings, Best Wood, Safety | TOOCAA","A practical guide to laser cutting wood: choose the best wood, calculate diode laser settings, compare plywood and MDF parameters, reduce burnt edges, and plan safe projects.","laser cutting wood, wood laser cutter, laser cut wood, laser engrave wood, cutting plywood with laser cutter, mdf laser cutting machine, laser cut mdf, good wood for laser cutting, wood cutting laser machines, laser carving on wood",cutting plywood with laser cutter,没有,23,312,材料细分词,加强 plywood 段落，后续可单独做 plywood guide 或内部锚点。,https://www.xtool.com/products/xtool-safetypro-ap2
https://luckykingking.github.io/toocaa-test/learn/materials/wood/,"Wood Laser Cutting Guide: Settings, Best Wood, Safety | TOOCAA","A practical guide to laser cutting wood: choose the best wood, calculate diode laser settings, compare plywood and MDF parameters, reduce burnt edges, and plan safe projects.","laser cutting wood, wood laser cutter, laser cut wood, laser engrave wood, cutting plywood with laser cutter, mdf laser cutting machine, laser cut mdf, good wood for laser cutting, wood cutting laser machines, laser carving on wood",mdf laser cutting machine,没有,35,295,材料细分词,用于 MDF 安全/参数内容；后续可考虑单独做 MDF guide。,https://algolaser.com/blogs/how-to/15-exceptional-christmas-gifts-for-moms
https://luckykingking.github.io/toocaa-test/learn/materials/wood/,"Wood Laser Cutting Guide: Settings, Best Wood, Safety | TOOCAA","A practical guide to laser cutting wood: choose the best wood, calculate diode laser settings, compare plywood and MDF parameters, reduce burnt edges, and plan safe projects.","laser cutting wood, wood laser cutter, laser cut wood, laser engrave wood, cutting plywood with laser cutter, mdf laser cutting machine, laser cut mdf, good wood for laser cutting, wood cutting laser machines, laser carving on wood",laser cut mdf,没有,26,93,材料细分词,放入 MDF 参数表、FAQ 和安全提醒。,https://www.xtool.com/products/xtool-m1-ultra-the-worlds-first-4-in-1-craft-machine
https://luckykingking.github.io/toocaa-test/learn/materials/wood/,"Wood Laser Cutting Guide: Settings, Best Wood, Safety | TOOCAA","A practical guide to laser cutting wood: choose the best wood, calculate diode laser settings, compare plywood and MDF parameters, reduce burnt edges, and plan safe projects.","laser cutting wood, wood laser cutter, laser cut wood, laser engrave wood, cutting plywood with laser cutter, mdf laser cutting machine, laser cut mdf, good wood for laser cutting, wood cutting laser machines, laser carving on wood",good wood for laser cutting,没有,23,49,问题/选择型关键词,用于材料选择模块和 FAQ 回答。,https://www.xtool.com/pages/xtool-metalfab-laser-welder-and-cnc-cutter
https://luckykingking.github.io/toocaa-test/learn/materials/wood/,"Wood Laser Cutting Guide: Settings, Best Wood, Safety | TOOCAA","A practical guide to laser cutting wood: choose the best wood, calculate diode laser settings, compare plywood and MDF parameters, reduce burnt edges, and plan safe projects.","laser cutting wood, wood laser cutter, laser cut wood, laser engrave wood, cutting plywood with laser cutter, mdf laser cutting machine, laser cut mdf, good wood for laser cutting, wood cutting laser machines, laser carving on wood",wood cutting laser machines,没有,47,1040,高流量泛关键词,谨慎用于介绍/CTA 文案；后续用机器对比内容承接。,https://www.xtool.com/pages/software
https://luckykingking.github.io/toocaa-test/learn/materials/wood/,"Wood Laser Cutting Guide: Settings, Best Wood, Safety | TOOCAA","A practical guide to laser cutting wood: choose the best wood, calculate diode laser settings, compare plywood and MDF parameters, reduce burnt edges, and plan safe projects.","laser cutting wood, wood laser cutter, laser cut wood, laser engrave wood, cutting plywood with laser cutter, mdf laser cutting machine, laser cut mdf, good wood for laser cutting, wood cutting laser machines, laser carving on wood",laser carving on wood,有,2,4,低难度补充词,在 engraving/carving 相关措辞中自然出现，不堆砌。,https://www.xtool.com/blogs/xtool-academy/laser-cutting-and-engraving-rubber
